客户触发,我方回复
怎么做，而且现在的翻译里也没有新的意思,比如这个字放大 或者 新 这个字 从上到下掉下来 类似做个效果
an ocean of new的new 还是要翻出来的 这条视频讲的是EXPLORA三号船的新船下水,新 不是说到时候 新 这个字幕 做点不一样的
我忘记放在哪里了，就是我截图给你的2部分意见,下午我叫翻译再看下 引用：29500；回复：报价单发你了
知道了，你先准备报价单给我 29500 视频翻译跟着上次的意见再更新一下？,好 我看你那天标注改的 要么发我下？
就是中文用不了上面说的英语的LIGHT是吗 因为一直说的是中文字太粗 有没有其他免费的细一点的字体可调整？ 细一点好 对，要细的,红色框是 下一个级别 常规粗细 绿色框是 加粗的 你看下 这也是和红的一样 常规 引用：[图片]；回复：这个咯 看个人习惯[微笑] 那就常规属性吧 不粗也不细
这次是把中文用成Light，不是说英语 中文能用上面的LIGHT的字体吗,那个英文字体 中文是思源黑体 黑体系列都是粗的哦
好的，用我们的细体试试,"light medium常规 引用：[图片]；回复：这个就是我说的有点乖 如果中文再调细 中文就类似宋体了 配字幕极丑 这是一条引用/回复消息： ""David： [图片]"" ------ 这个就是我说的有点怪 如果中文再调细 中文就类似宋体了 配字幕极丑"
花钱的太麻烦了，主要一直会忘记续约，然后就会被罚,shapiro 不是你们自己的字体吗 我换这个light这个试试吧
细的免费字体有吗 所以现在就都不买,免费不免费我不知道 这个英文字体是用的你们的 mcs好像有细的吧 英文字体国外买的吧
我什么细的字体吗？还是觉得不高级,我要么做个细的字体和中文在一起的截屏给你看看？
我是觉得现在这个有点粗，不够高级 没有左对齐,但是你要这样想啊 英文很少出现 大部分是中文 中文本来相比英文较粗的，两者假如一粗一细很奇怪 你和原英文视频对齐就知道额 引用：没有左对齐；回复：这里到时候手动调下
字体是什么？ 我们手册里用的是个**细的？,中文思源黑体 英文和原视频一致的 shapiro 特意去对比了 也是手册用的字体 但不是那种特细的 特细的是那种花体 类似logo
我也在给其他同事看，做好的就给我，晚点还有个竖版噢 等定了后,竖版现在就做 还是等横版文字样式什么的定下来？ 好的 那一会2个横版视频 发你
“新”字不用做动效的 对就正常,就正常的咯 还有其他意见不 另外一个也好了 导给你一起看看？
明天上午还是下午，明天我有好几个会,保险点下午吧 我肯定会提前告诉你的
今天200本手册会到我公司对吗 盯一盯，别晚了，15号晚上我要带回家，16号一早要送去宝山码头的,早上问过了 要明天到你公司哈 我会跟车送去的
当说船本身的时候，可以说船只的 这里是讲环保，可以这样用的,好 到时候我看 怎么样全文替换 邮轮肯定保险 有些肯定是 船 这个字 不能替换的 我怎么感觉我要做在同时旁边改才是最保险的 [捂脸] 只可惜现在老板不给我这个机会 我知道了 这三段红字copy了上面的 等着替换翻译的意思
反正尽量在你放假前把排版的事搞掉吧，同步我会把费用申请下来，年后就能开印,你现在方便吗 我和你内容大概过一遍？
外企现在也累成狗，我倒想早放，小年夜上午还要和大老板开会,我早放扣钱哈 没有免费的午餐
排版搞定就好了，可以年后印的,我诉苦下 我们不是外企 没那么好福利 做不到最后一天 按照以往没什么活就放掉了 抵扣假的[流泪] 等下周文件来 我到时候想想办法吧 我自己应该下周四开始放
你报价单可以加2000元 过年不还有10天了吗,"引用：翻译今天下午能给吗？；回复：这个周一行吗 我内部欠的太多了 你看之前增加8页 哪次问你手费用了 [微笑] 这是一条引用/回复消息： ""Renaiss： 过年不还有10天了吗"" ------ 后面多少没什么活 肯定早放的 印刷厂里 一般 农历 24就收尾了"
你是不是处女座的 内部OK不就是要老板OK吗 我就是不想发没完成的排版给老板（之前都会有排版费的，这本有点特殊，但改的应该也不是很多） 而且我也说了几次报价还可以调，要我非常明的说请你报高一点吗,[捂脸] 等国外制作文件来了 我来想办法吧 不过这个涉及过年哈 早放
因为我知道这本里排的有些地方太奇怪了，所以觉得不合适发给老板,现在我们不是说的是确认印刷报价嘛 内部OK吗 OK的话可以回复我。我有了确认，我就可以到时候安排修改了哈。 实际我修改这次没单独手你们费用哈（只是内部我会给我同事一些工作量，人家不会每次帮我免费改）。 有了印刷确认，修改我就顺带带掉咯，这是我可以做的哈。这样老板也挑不出理 所以我想我解释清楚了[微笑] 我们的流程和逻辑 我的诉求都和你说了，免得我们有误会。
好的，报价是这样，我一直想等调完了发给老板批，给的版本不对不太好 知道的,常规流程就是先确认费用哦 我后面好操作 有排版的排版、排版后打样、打样确认后印刷 上次先打样我是额外申请的，因为第一次做嘛，说客户想看下，且当时我们是有制版合同的，所以老板才OK的 最终文件肯定是等你们确认了 我才印刷 你就是现在叫我印刷也不敢啊 文件都不对
我回的时候一起说,翻译要周一了 我还是找别的带掉的 因为没工单[捂脸] 我们内部每笔都是有工单的 况且今天出稿有不少 周一可以给你的
引用：那翻译不是加在这本里面的？；是的，但吃不准是不是在现有里的，你翻好我回过去时问一下 翻译好了吗,嗯 你记得要问国外要制作文件哈 这个报价ok的话，是不是能邮件先回复我下，这样我有了印刷合同确认，我内部就正大光明好叫同事到时候pdf对齐等问题修改起来哈。
那个是MSC的 不是EJ MSC地中海+北欧的手册好了，转过来邮件了 帮忙把文案细节调一下，然后邮件里有个文件里有2段话帮忙翻译一下 现在能看到具体页数了，如果要调整报价也告诉我，1000本,1、增加的翻译是要加入手册中吗，要加入的话，那页数还是无法预估 2、手册我下载了，只是个pdf没法改哦，需要原始制作文件
是的，多说我只能换掉你的[捂脸]，因为这件事不是我能控制的 已经在尽量了 你看看视频的报价,"嗯呢 市场可能比PR好 我三个月了PO还没收到 [捂脸] 引用：你看看视频的报价；回复：我在下载了 这是一条引用/回复消息： ""Renaiss： [图片]"" ------ 这里不包含要做的FSC那本是吧"
但等到后面就收到了 我做了5年也就一家来说过 我们其他供应商基本不催钱的 我也是第一次碰到,[捂脸] 有PO的我们一直都是不催的 但是哪知道PO不是按照账期的 算了不说了 伤和气
和欧洲公司做生意这点帐期时间要能接受的，否则我一年近大几百万的预算怎么办,之前的付款比PO急[微笑] 因为本来我和财务信誓旦旦说 24年底付的 后来有通知了 只是没到账 怪事 哎 我也没法子 辛苦你了 以往你们遇到这样的情况吗 付款通知有了 没到账？
100分的？,3Q 我前面在对页码 你帮我看下 是不是 如需查看所有其他地中海出发线路，请翻至第52页 是我截屏的这页吗
急不急，但想加个页码,可以的 等同事这阵忙完 我叫她加 其他呢 老板看后还有啥改的吗
其实只要写一个地名的 你帮我研究一下，小字标一下就好了,伦敦 戈多伊岛 这两个地方咯
小一号字呢，位置对了,前面说了一半 那好像英文有些底部描述的对应页数就有误哦 中文我就实际改成应该多少页哈 引用：[图片]；回复：中文这一页 对应的应该是 P57
我已经发掉了 收到再说 放两边,看下 白底 就是蓝色字 图片 就是白字 ok吗 从正文第三页开始起
不是，总部不给我也没黑涩会 不是，总部不给我也没办法,引用：其他很难改的不改就算了；回复：我理解 我说的这个
高清版拿到后能不能改一下呢 我用公司的电脑有可编辑软件也是能改的,高清版是完全转曲的格式 你可以理解为文字也是图片了 每改一个字 等于都是P图 打个比方 如果 改成 假如 这类字数相当的可以去P 填充2个字符 因为都是2个字符 如果是 2个字改成 3个字等 就有问题了哈 导致整行都有问题 你要么先要过来试试？ 必须是高清带出血位的哈 样子 我找个截图给你
这份报价单有含其他费用了吗,我今天路上开车，明天进公司 费用包含了上次叫我加2000，修改还有修改什么的。加上了
现在能给我吗？FSC还是要时间的是吧,color profile 下午我研究下 出给你 上午一来事情太多 FSC 要等正式下单后才去申请的号码 我连年前3个po 发票忙了都没时间去发给那个国外邮箱 话说付款国外 还是没下文是吗？
是，把之前她们那份要求上的数据调成新的格式试试，怎么办呢 也问不清楚,引用：是，把之前她们那份要求上的数据调成新的格式试试，怎么办呢；回复：她们的那个就是我们这次的印刷规格要求 您稍微看下就知道了 就是我说的尺寸、纸张什么的 [捂脸] 所以国外叫我们提供这个 我们就疑问 我们公司也做了20几年了 第一次遇到这个 我们老板都不知道这个 连网上搜索这个词 都不确定啥意思
给我个英文版，不是要给总部吗 引用：意思是：我们使用印能捷（Prinergy）工作流程，并依据G7标准进行色彩管理，以确保印刷品的颜色准确性和一致性。 - **印能捷流程**：印能捷是柯达公司开发的一套集成化印前处理软件，涵盖从文件接收、处理、排版、色彩管理到输出的全流程，旨在提高印前制作的效率和质量控制。 - **参考G7标准做色彩管理**：G7是一种国际认可的印刷色彩控制方法，强调通过校正灰色（Gray）值来实现颜色的准确再现。供应商遵循G7标准，意味着他们在印刷过程中注重灰平衡的控制，使用分光光度计测量和校正，以确保不同设备上印刷品的颜色一致，符合ISO 12647-2等国际标准的要求。 通过采用印能捷流程和G7色彩管理标准，说明能够提供高质量的印刷服务，确保颜色输出的准确性和稳定性。；就把这个翻译一下呢？,引用：给我个英文版，不是要给总部吗；回复：这不是个文件 我来写一段英文吧
